Dataset,Top_K,ADFNR_Precision,ADFNR_Recall,DASOD_Precision,DASOD_Recall,GCN_Precision,GCN_Recall,GCN-LOF_Precision,GCN-LOF_Recall,NIEOD_Precision,NIEOD_Recall,NMIGOD_Precision,NMIGOD_Recall
abalone,41,0.1463,0.0441,0.0244,0.0074,0.5366,0.2018,0.5854,0.2202,0.0488,0.0147,0.6098,0.2294
abalone,167,0.3054,0.375,0.0539,0.0662,0.3174,0.4862,0.3473,0.5321,0.2994,0.3676,0.3772,0.578
abalone,292,0.2603,0.5588,0.0616,0.1324,0.2432,0.6514,0.2226,0.5963,0.2534,0.5441,0.2432,0.6514
abalone,375,0.216,0.5956,0.152,0.4191,0.1973,0.6789,0.1947,0.6697,0.2133,0.5882,0.1893,0.6514
abalone,835,0.1066,0.6544,0.097,0.5956,0.1018,0.7798,0.1078,0.8257,0.1078,0.6618,0.097,0.7431
abalone,1461,0.0684,0.7353,0.0726,0.7794,0.0671,0.8991,0.0678,0.9083,0.0691,0.7426,0.0589,0.789
abalone,1879,0.0575,0.7941,0.0585,0.8088,0.0543,0.9358,0.0548,0.945,0.0575,0.7941,0.0495,0.8532
abalone,2923,0.0414,0.8897,0.0411,0.8824,0.0356,0.9541,0.0359,0.9633,0.0424,0.9118,0.0359,0.9633
abalone,4177,0.0326,1.0,0.0326,1.0,0.0261,1.0,0.0261,1.0,0.0326,1.0,0.0261,1.0
abalone_Avg,-,0.1372,0.6274,0.0660,0.5213,0.1755,0.7319,0.1825,0.7401,0.1249,0.6250,0.1874,0.7176
adult,63,0.0794,0.0099,0.0952,0.0119,0.7778,0.1216,0.6984,0.1092,0.0952,0.0119,0.3492,0.0546
adult,254,0.0591,0.0298,0.0866,0.0437,0.4567,0.2878,0.4567,0.2878,0.1063,0.0536,0.3307,0.2084
adult,446,0.0583,0.0516,0.083,0.0734,0.3386,0.3747,0.3879,0.4293,0.1054,0.0933,0.3229,0.3573
adult,573,0.0646,0.0734,0.0803,0.0913,0.3037,0.4318,0.3543,0.5037,0.0995,0.1131,0.2914,0.4144
adult,1274,0.0785,0.1984,0.0801,0.2024,0.2182,0.6898,0.2268,0.7171,0.1013,0.256,0.2033,0.6427
adult,2230,0.0726,0.3214,0.0892,0.3948,0.1565,0.866,0.1632,0.9032,0.0928,0.4107,0.1561,0.8635
adult,2867,0.0785,0.4464,0.0903,0.5139,0.1298,0.9231,0.1343,0.9553,0.0882,0.502,0.1329,0.9454
adult,4460,0.0771,0.6825,0.0839,0.7421,0.0904,1.0,0.0904,1.0,0.0839,0.7421,0.0897,0.9926
adult,6372,0.0791,1.0,0.0791,1.0,0.0632,1.0,0.0632,1.0,0.0791,1.0,0.0632,1.0
adult_Avg,-,0.0719,0.3126,0.0853,0.3415,0.2817,0.6328,0.2861,0.6562,0.0946,0.3536,0.2155,0.6088
arrhythmia,4,0.5,0.0303,0.75,0.0455,0.5,0.0377,1.0,0.0755,0.75,0.0455,0.0,0.0
arrhythmia,18,0.6111,0.1667,0.6111,0.1667,0.6111,0.2075,0.4444,0.1509,0.6111,0.1667,0.4444,0.1509
arrhythmia,31,0.6452,0.303,0.5484,0.2576,0.5484,0.3208,0.3871,0.2264,0.6452,0.303,0.5161,0.3019
arrhythmia,40,0.6,0.3636,0.5,0.303,0.525,0.3962,0.35,0.2642,0.65,0.3939,0.425,0.3208
arrhythmia,90,0.4444,0.6061,0.4444,0.6061,0.3889,0.6604,0.2889,0.4906,0.4444,0.6061,0.3111,0.5283
arrhythmia,158,0.3165,0.7576,0.3101,0.7424,0.2532,0.7547,0.2278,0.6792,0.3165,0.7576,0.2278,0.6792
arrhythmia,203,0.2759,0.8485,0.266,0.8182,0.2069,0.7925,0.1921,0.7358,0.266,0.8182,0.197,0.7547
arrhythmia,316,0.1962,0.9394,0.1962,0.9394,0.1424,0.8491,0.1582,0.9434,0.1962,0.9394,0.1424,0.8491
arrhythmia,452,0.146,1.0,0.146,1.0,0.1173,1.0,0.1173,1.0,0.146,1.0,0.1173,1.0
arrhythmia_Avg,-,0.4150,0.5572,0.4191,0.5421,0.3659,0.5577,0.3518,0.5073,0.4473,0.5589,0.2646,0.5094
bank,23,0.2174,0.025,0.3913,0.045,0.4783,0.0688,0.3478,0.05,0.087,0.01,0.1739,0.025
bank,95,0.2105,0.1,0.2737,0.13,0.2632,0.1562,0.3474,0.2062,0.2737,0.13,0.2,0.1187
bank,167,0.2515,0.21,0.2635,0.22,0.3054,0.3187,0.2994,0.3125,0.2096,0.175,0.1976,0.2062
bank,215,0.2465,0.265,0.2698,0.29,0.2698,0.3625,0.2977,0.4,0.2279,0.245,0.1907,0.2562
bank,478,0.182,0.435,0.205,0.49,0.1946,0.5813,0.2029,0.6062,0.2029,0.485,0.1611,0.4813
bank,836,0.1411,0.59,0.1651,0.69,0.1531,0.8,0.1507,0.7875,0.1471,0.615,0.1172,0.6125
bank,1075,0.1237,0.665,0.1507,0.81,0.1284,0.8625,0.1256,0.8438,0.1377,0.74,0.1042,0.7
bank,1673,0.101,0.845,0.1142,0.955,0.0926,0.9688,0.0915,0.9563,0.1112,0.93,0.0855,0.8938
bank,2391,0.0836,1.0,0.0836,1.0,0.0669,1.0,0.0669,1.0,0.0836,1.0,0.0669,1.0
bank_Avg,-,0.1730,0.4594,0.2130,0.5144,0.2169,0.5688,0.2144,0.5736,0.1645,0.4811,0.1441,0.4771
bank-full,60,0.0,0.0,0.0833,0.009,0.3833,0.0519,0.5667,0.0767,0.1,0.0108,0.6,0.0813
bank-full,243,0.0823,0.0361,0.0988,0.0433,0.2922,0.1603,0.428,0.2348,0.1317,0.0578,0.4815,0.2641
bank-full,426,0.0939,0.0722,0.1033,0.0794,0.2864,0.2754,0.3685,0.3544,0.1244,0.0957,0.4085,0.3928
bank-full,548,0.0967,0.0957,0.1095,0.1083,0.2664,0.3296,0.3321,0.4108,0.135,0.1336,0.3759,0.465
bank-full,1219,0.0984,0.2166,0.1198,0.2635,0.2281,0.6275,0.2354,0.6479,0.1214,0.2671,0.2781,0.7652
bank-full,2134,0.1148,0.4422,0.1275,0.491,0.1729,0.833,0.172,0.8284,0.1218,0.4693,0.1959,0.9436
bank-full,2744,0.1184,0.5866,0.1224,0.6065,0.1454,0.9007,0.1469,0.9097,0.1184,0.5866,0.1611,0.9977
bank-full,4269,0.1122,0.8646,0.1096,0.8448,0.1017,0.9797,0.1021,0.9842,0.1085,0.8357,0.1038,1.0
bank-full,6099,0.0908,1.0,0.0908,1.0,0.0726,1.0,0.0726,1.0,0.0908,1.0,0.0726,1.0
bank-full_Avg,-,0.0897,0.3682,0.1072,0.3829,0.2166,0.5731,0.2694,0.6052,0.1169,0.3841,0.2975,0.6566
